,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
477,Ponnani,10.77,75.93,75.2,88,75,2.24
478,Baruun-Urt,46.68,113.28,9.88,91,100,12.71
479,Ola,59.58,151.3,1.92,70,99,17.9
480,Katherine,-14.47,132.26,84.2,66,65,4.7
481,Toora-Khem,52.47,96.11,5.43,96,100,1.41
482,Buerarema,-14.96,-39.3,82.4,78,20,6.93
483,Quimper,48.0,-4.1,44.91,100,90,3.36
484,Unai,-16.36,-46.91,75.79,82,86,6.04
485,Koson,39.04,65.59,33.8,69,0,1.12
486,Moose Factory,51.26,-80.61,19.4,79,90,2.24
487,Bayir,37.27,28.22,59.0,93,40,3.36
488,Port Hardy,50.7,-127.42,37.4,64,20,3.36
489,Zhob,31.34,69.45,45.12,37,0,1.99
490,Fereydun Kenar,36.69,52.52,48.2,93,0,2.24
491,Salta,-24.79,-65.41,86.18,42,20,10.29
492,Kulhudhuffushi,6.62,73.07,77.77,89,100,8.3
493,Nuevitas,21.55,-77.27,77.0,69,20,13.87
494,Luau,-10.7,22.23,66.96,97,76,3.13
495,Goderich,43.74,-81.71,30.0,84,96,3.0
496,Ostrovnoy,68.05,39.51,35.96,93,100,18.77
497,Atikokan,48.76,-91.62,24.94,86,71,4.81
498,Thabazimbi,-24.59,27.41,75.79,22,26,6.11
499,Corrales,5.83,-72.84,54.09,94,100,2.89
500,Mehamn,71.03,27.85,33.3,87,75,18.34
501,Manaure,11.78,-72.45,84.2,74,75,11.41
502,Sao Miguel do Araguaia,-13.28,-50.16,83.57,70,7,11.48
503,Komsomolskiy,67.55,63.78,6.03,95,100,11.74
504,Menzelinsk,55.73,53.11,26.6,58,99,20.13
505,Ohara,35.12,135.83,36.82,86,20,3.36
506,Wattegama,7.35,80.68,71.83,94,100,1.54
507,Hervey Bay,-25.3,152.85,80.83,54,75,9.17
508,Ilinskiy,55.62,38.12,33.96,94,90,11.18
509,Bluefields,12.01,-83.77,82.4,78,40,4.7
510,Majene,-3.54,118.97,76.59,90,100,3.74
511,Arroyo,-11.08,-66.08,78.8,88,75,9.17
512,Robertsport,6.75,-11.37,82.81,76,8,10.63
